sbd,Toán,Văn,Lí,Hóa,Sinh,Ngoại ngữ,Sử,Địa,GDCD
1013383,7.8,6.5,,,,4.4,5.5,6.75,7.75
1013384,7.8,6.75,,,,6.2,4.5,6.0,8.0
1013385,4.2,5.5,,,,,4.5,6.5,
1013386,4.6,5.25,,,,,5.0,6.0,
1013387,5.2,6.0,,,,3.2,6.25,5.0,8.75
1013388,3.4,4.0,,,,,3.25,2.75,
1013389,8.6,8.0,6.5,9.0,6.25,8.4,,,
1013390,5.4,7.25,,,,4.4,6.5,7.5,9.5
1013391,4.4,5.25,,,,,4.75,6.5,
1013392,2.6,6.75,,,,,6.0,6.75,
1013393,7.0,7.5,,,,8.6,6.0,7.25,8.75
1013394,8.0,8.0,,,,9.6,8.0,7.0,9.0
1013395,7.6,7.5,,,,9.2,6.5,5.75,8.0
1013396,3.8,6.25,,,,,3.75,5.5,
1013397,7.6,8.0,,,,8.8,5.5,6.25,7.5
1013398,4.4,6.75,,,,7.2,5.25,6.0,5.25
1013399,8.2,7.25,,,,6.6,5.25,5.5,9.5
1013400,8.0,8.5,5.0,6.5,5.0,9.4,,,
1013401,1.8,4.25,,,,,4.0,5.25,
1013402,7.4,7.0,,,,6.4,6.5,5.75,9.0
1013403,5.6,4.25,,,,,7.5,7.25,
1013404,7.4,8.5,,,,7.8,5.25,6.25,8.25
1013405,6.4,5.25,,,,,6.0,6.25,
1013406,6.6,7.75,,,,9.4,3.75,6.25,7.25
1013407,6.4,7.25,,,,7.4,8.5,8.25,9.5
1013408,6.8,7.5,,,,7.8,4.5,6.75,8.75
1013409,4.2,5.25,,,,,8.25,6.75,
1013410,6.2,8.0,,,,8.4,6.0,6.75,10.0
1013411,3.2,3.25,,,,,3.75,5.25,
1013412,7.8,6.25,7.0,6.0,7.5,7.2,,,
1013413,7.8,7.0,8.5,5.5,5.75,7.8,,,
1013414,8.6,8.5,,,,8.0,4.0,5.25,8.0
1013415,7.4,7.75,,,,8.4,6.25,8.5,9.25
1013416,5.6,7.5,,,,8.4,,,
1013417,8.6,7.25,8.25,7.25,7.5,6.4,,,
1013418,7.4,7.5,,,,7.8,5.0,5.75,8.75
1013419,6.4,7.25,,,,8.0,5.75,4.75,8.25
1013420,3.0,5.5,,,,,4.5,5.0,
1013421,7.4,8.75,,,,9.2,7.5,7.5,9.0
1013422,6.8,7.0,,,,6.2,4.0,5.5,7.0
1013423,6.2,4.5,,,,,5.0,4.25,
1013424,7.2,8.5,,,,8.2,4.5,5.75,7.75
1013425,2.4,5.25,,,,,6.0,7.0,
1013426,8.2,8.0,,,,8.8,6.75,6.5,8.75
1013427,6.8,8.25,,,,7.0,3.0,5.0,6.75
1013428,7.8,8.5,,,,8.0,8.5,7.0,9.5
1013429,7.0,8.5,,,,6.0,4.0,6.0,8.75
1013430,,4.0,,,,,5.0,5.0,
1013431,5.2,6.5,,,,3.2,5.5,6.0,7.5
1013432,6.0,6.25,,,,7.6,5.25,5.25,8.75
1013433,8.0,8.25,,,,8.8,7.75,7.25,9.5
1013434,8.0,8.75,,,,9.0,7.25,6.5,9.25
1013435,8.2,4.0,,,,8.4,4.5,5.5,6.5
1013436,2.8,5.0,,,,,5.0,5.0,
1013437,7.4,7.25,5.75,6.5,4.75,7.4,,,
1013438,7.8,7.75,6.0,5.5,7.0,9.0,,,
1013439,7.8,6.25,,,,6.8,5.0,3.25,8.25
1013440,7.6,8.5,8.0,8.25,6.5,9.0,,,
1013441,3.2,5.75,,,,3.4,5.5,5.75,
1013442,7.4,7.75,9.0,6.5,8.25,8.8,,,
1013443,8.6,7.5,7.5,5.75,6.5,9.0,,,
1013444,1.8,4.5,,,,,4.5,4.75,
1013445,,5.0,,,,,8.5,7.5,
1013446,7.6,8.0,,,,8.4,6.75,6.0,9.75
1013447,7.0,7.25,,,,8.8,7.5,7.0,9.0
1013448,7.8,7.0,7.25,8.0,4.5,2.6,,,
1013449,8.2,7.75,7.25,7.75,8.25,5.6,,,
1013450,5.8,5.0,,,,5.6,7.25,6.0,8.75
1013451,6.8,6.75,,,,5.6,5.5,5.75,7.25
1013452,7.8,8.5,,,,4.0,7.5,5.75,9.75
1013453,3.8,6.75,,,,,5.5,5.0,
1013454,5.4,6.25,,,,,7.25,6.25,
1013455,6.8,7.75,,,,9.0,6.5,5.5,8.25
1013456,8.8,6.75,,,,8.6,4.75,5.25,8.0
1013457,7.2,7.0,,,,8.8,8.25,7.75,10.0
1013458,6.8,7.75,,,,7.6,4.5,4.75,8.75
1013459,7.4,6.5,7.75,5.5,5.0,7.0,,,
1013460,7.6,7.75,,,,7.2,5.5,4.75,7.75
1013461,4.6,8.25,,,,6.2,7.0,6.5,9.5
1013462,8.2,8.0,7.75,8.0,8.5,9.2,,,
1013463,8.6,7.0,,,,8.8,7.25,9.5,8.75
1013464,8.0,6.5,7.75,8.0,6.0,6.0,,,
1013465,9.0,8.75,,,,9.6,8.25,7.25,9.0
1013466,,4.0,,,,,2.25,3.25,
1013467,2.4,6.0,,,,,4.5,4.5,
1013468,8.0,7.25,,,,7.8,8.5,6.5,9.25
1013469,4.2,5.25,,,,,6.25,4.5,
1013470,,,,,,,,,
1013471,2.6,4.0,,,,,3.25,2.75,
1013472,5.2,5.5,,,,,6.5,7.0,
1013473,5.6,6.25,,,,,6.0,6.75,
1013474,4.8,5.5,,,,,5.25,6.0,
1013475,5.8,6.75,,,,,6.5,6.25,
1013476,4.0,4.25,,,,,4.5,4.5,
1013477,1.8,5.0,,,,,2.0,3.0,
1013478,4.2,5.25,,,,,4.0,5.75,
1013479,2.8,4.25,,,,,4.0,5.75,
1013480,3.2,5.25,,,,,6.5,5.0,
1013481,3.0,4.75,,,,,6.5,5.25,
1013482,7.0,6.75,,,,,6.5,7.0,
1013483,2.8,5.5,,,,,6.0,5.25,
1013484,2.2,6.5,,,,,5.25,4.75,
1013485,3.6,5.25,,,,,5.5,5.5,
1013486,5.2,5.75,,,,,7.0,6.0,
1013487,4.8,4.75,,,,,4.0,4.75,
1013488,5.0,5.0,,,,,4.75,5.5,
1013489,,4.25,,,,,7.5,4.25,
1013490,2.4,5.75,,,,,3.75,4.5,
1013491,6.2,7.0,,,,,7.75,7.0,
1013492,3.8,6.25,,,,,6.25,5.75,
1013493,4.4,6.0,,,,,6.75,5.75,
1013494,3.2,5.0,,,,,5.0,4.5,
1013495,2.6,5.5,,,,,5.75,5.75,
1013496,4.2,7.0,,,,,3.75,4.5,
1013497,7.2,6.25,,,,,9.25,7.25,
1013498,,,,,,,,,
1013499,7.8,8.5,,,,8.8,,,
1013500,5.6,6.5,,,,,4.0,5.25,
1013501,2.8,4.5,,,,,5.75,6.0,
1013502,8.0,6.5,,,,,8.5,7.25,
1013503,,6.25,,,,,8.75,6.75,
1013504,3.8,2.25,,,,,3.5,4.25,
1013505,4.4,5.5,,,,,5.75,6.5,
1013506,4.4,5.75,,,,,6.0,5.25,
1013507,4.4,7.25,,,,,6.25,5.5,
1013508,5.4,6.75,,,,,7.5,6.75,
1013509,3.4,4.5,,,,,4.25,4.75,
1013510,3.0,4.75,,,,,5.0,5.75,
1013511,2.0,4.5,,,,,3.25,3.75,
1013512,2.2,5.5,,,,,5.25,4.0,
1013513,4.6,6.0,,,,,5.0,7.0,
1013514,4.6,5.5,,,,,7.25,5.0,
1013515,5.6,5.75,,,,,4.25,6.5,
1013516,3.0,4.5,,,,,5.25,5.25,
1013517,7.0,6.0,3.75,3.5,5.0,,,,
1013518,5.8,5.0,,,,,4.5,3.25,
1013519,4.2,4.5,,,,,6.0,5.25,
1013520,5.2,6.5,,,,,3.75,5.75,
1013521,4.0,4.25,,,,,1.25,5.25,
1013522,6.0,5.5,,,,,5.75,5.25,
1013523,,5.0,,,,,8.0,6.25,
1013524,5.0,5.75,,,,,6.5,6.5,
1013525,4.0,4.5,,,,,3.75,5.75,
1013526,3.0,4.5,,,,,5.25,4.25,
1013527,9.0,,8.5,8.25,3.0,,,,
1013528,3.8,6.0,,,,,8.0,6.75,
1013529,2.8,4.0,,,,,5.0,,
1013530,2.2,4.75,,,,,4.0,5.75,
1013531,4.8,4.0,,,,,5.75,5.25,
1013532,7.0,6.75,,,,,6.5,5.75,
1013533,2.0,4.75,,,,,4.75,6.0,
1013534,,5.0,,,,,5.25,5.25,
1013535,,8.5,,,,7.6,9.0,6.5,8.25
1013536,5.4,7.25,,,,,5.25,5.75,
1013537,2.8,4.75,,,,,4.75,6.25,
1013538,6.4,7.0,,,,,6.25,4.75,
1013539,6.2,6.0,,,,,5.75,5.25,
1013540,5.2,6.25,,,,,5.0,6.25,
1013541,5.0,6.0,,,,,6.0,5.75,
1013542,9.0,,7.25,6.75,,,,,
1013543,4.4,,,,,,,,
1013544,1.2,6.25,,,,,5.75,5.25,
1013545,2.4,7.0,,,,,3.25,5.0,
1013546,3.2,4.25,,,,,5.25,5.25,
1013547,2.6,5.75,,,,,5.0,3.5,
1013548,,,,,,,,,
1013549,8.0,6.5,,,,,6.5,8.0,
1013550,6.8,6.0,,,,,6.5,5.5,
1013551,5.6,7.25,,,,,6.0,6.25,
1013552,3.6,5.5,,,,,3.25,3.25,
1013553,2.6,5.75,,,,,5.5,7.75,
1013554,3.0,5.75,,,,,6.75,6.5,
1013555,3.6,4.75,,,,,3.0,5.75,
1013556,2.2,4.5,,,,,4.5,3.75,
1013557,,5.5,,,,,6.5,7.25,
1013558,3.8,5.5,,,,,4.0,4.25,
1013559,5.0,6.0,,,,,7.75,6.5,
1013560,7.2,6.0,,,,,4.25,6.0,
1013561,2.8,2.5,,,,,3.75,4.75,
1013562,4.0,5.25,,,,,5.5,5.75,
1013563,5.8,5.5,,,,,6.0,6.0,
1013564,4.0,5.25,,,,,4.75,5.75,
1013565,3.4,5.25,,,,,3.75,4.5,
1013566,3.4,3.25,,,,,4.25,4.5,
1013567,6.6,6.0,,,,,6.25,6.25,
1013568,5.4,5.25,,,,,6.0,6.5,
1013569,5.4,6.25,,,,,6.5,5.75,
1013570,4.2,6.0,,,,,5.5,6.75,
1013571,3.2,5.75,,,,,4.25,5.75,
1013572,8.0,4.25,,,,,5.5,7.0,
1013573,2.8,5.75,,,,,6.25,4.25,
1013574,5.6,3.5,,,,,5.75,5.5,
1013575,8.2,2.5,,,,,7.75,7.25,
1013576,4.4,5.25,,,,,4.75,6.0,
1013577,3.4,5.5,,,,,3.5,4.75,
1013578,4.2,5.5,,,,,5.75,6.0,
1013579,,7.5,,,,6.8,6.25,7.0,9.0
1013580,4.6,5.0,,,,,2.25,4.0,
1013581,4.0,3.5,,,,,4.5,6.0,
1013582,6.2,7.75,,,,7.2,,,
1013583,2.6,5.25,,,,,5.25,5.25,
1013584,3.4,4.0,,,,7.6,4.0,6.0,
1013585,2.6,2.75,,,,,4.25,4.0,
1013586,2.8,3.25,,,,,4.25,5.75,
1013587,4.4,6.75,,,,,6.0,5.0,
1013588,4.2,5.75,,,,,2.5,5.0,
1013589,2.8,6.25,,,,,5.0,6.25,
1013590,7.2,,4.5,,,8.8,,,
1013591,3.4,8.0,,,,,8.0,7.0,
1013592,4.2,6.25,,,,,3.5,4.5,
1013593,3.4,6.75,,,,,6.5,6.5,
1013594,6.2,6.0,,,,,5.25,6.0,
1013595,3.2,2.25,,,,,4.5,6.0,
1013596,3.8,5.0,,,,,5.75,5.0,
1013597,3.8,6.25,,,,,4.0,6.0,
1013598,4.8,6.75,,,,,6.75,7.25,
1013599,6.2,8.0,,,,,7.25,6.25,
1013600,3.6,5.75,,,,,5.5,4.75,
1013601,2.2,5.0,,,,,5.0,4.75,
1013602,3.2,4.5,,,,,3.0,5.25,
1013603,2.6,3.25,,,,,2.25,3.0,
1013604,4.4,5.75,,,,,7.0,5.5,
1013605,5.0,6.0,,,,,5.0,6.0,
1013606,2.4,5.75,,,,,7.25,7.0,
1013607,7.0,8.75,,,,,8.5,6.0,
1013608,7.0,8.25,,,,7.8,,,
1013609,8.0,8.75,,,,8.4,,,
1013610,7.2,8.5,,,,9.6,,,
1013611,8.2,8.75,,,,6.6,,,
1013612,7.6,7.25,,,,7.4,,,
1013613,9.2,8.75,,,,9.8,,,
1013614,,,,,,,,,
1013615,7.2,8.25,,,,7.6,,,
1013616,6.8,7.25,,,,7.6,,,
1013617,7.4,8.5,,,,6.6,,,
1013618,7.4,7.75,,,,7.8,,,
1013619,8.8,6.5,9.0,6.25,7.75,9.0,,,
1013620,7.8,8.5,,,,7.4,6.75,5.75,10.0
1013621,7.8,7.75,7.75,7.25,6.0,8.0,,,
1013622,6.4,7.5,,,,7.2,5.5,5.0,8.0
1013623,8.0,8.25,,,,7.6,5.25,6.0,7.25
1013624,9.0,9.0,,,,9.2,6.75,7.25,8.5
1013625,8.2,7.25,8.5,7.75,5.75,6.6,,,
1013626,6.2,7.75,,,,6.2,4.75,5.5,8.0
1013627,7.4,8.25,,,,8.2,8.0,5.75,8.0
1013628,7.6,8.0,7.75,8.25,8.75,9.0,,,
1013629,4.8,6.75,,,,7.2,5.5,4.5,8.25
1013630,7.6,8.25,,,,9.2,8.75,8.5,8.75
1013631,5.2,6.75,,,,4.4,8.5,6.0,7.25
1013632,7.2,6.25,,,,3.4,4.25,5.0,8.0
1013633,7.6,7.5,,,,4.8,6.5,6.0,9.5
1013634,7.2,6.5,,,,6.2,6.25,6.25,8.5
1013635,8.4,8.0,,,,7.6,6.5,5.5,7.75
1013636,6.6,7.75,,,,8.0,2.25,5.5,8.75
1013637,4.8,7.5,,,,4.0,8.0,6.25,4.75
1013638,6.4,5.0,,,,5.4,5.5,4.75,8.0
1013639,7.4,8.25,,,,4.8,5.25,6.75,7.5
1013640,7.6,7.75,,,,5.8,6.0,6.0,9.5
1013641,6.8,7.5,,,,6.8,6.0,6.0,9.0
1013642,8.4,7.75,,,,7.8,5.25,6.5,8.5
1013643,7.4,7.0,,,,6.8,3.5,5.25,6.5
1013644,8.2,7.25,,,,6.8,6.0,6.5,9.5
1013645,5.2,6.75,,,,6.8,2.75,5.0,5.75
1013646,6.8,7.75,,,,3.6,5.0,6.25,9.5
1013647,8.2,8.0,,,,5.8,6.25,6.25,7.75
1013648,6.0,7.5,,,,7.6,7.75,6.0,9.75
1013649,8.0,8.5,,,,8.6,7.75,7.0,9.0
1013650,8.0,7.75,,,,6.8,6.0,5.5,8.75
1013651,7.8,7.75,,,,8.8,6.25,5.75,7.75
1013652,5.8,7.25,,,,7.8,4.75,5.0,7.5
1013653,7.2,8.25,,,,8.0,6.5,6.25,8.5
1013654,5.4,9.25,,,,8.0,6.25,5.0,9.25
1013655,5.8,7.5,,,,5.0,7.0,6.25,8.5
1013656,7.4,8.25,,,,7.8,7.25,6.5,9.75
1013657,7.6,8.5,,,,8.4,8.0,6.25,10.0
1013658,8.2,9.0,,,,8.8,7.0,8.0,8.75
1013659,7.2,8.0,,,,6.8,7.5,8.75,9.75
1013660,8.6,9.25,,,,9.4,7.75,8.0,9.5
1013661,7.8,8.0,,,,,6.5,6.5,8.25
1013662,8.6,9.0,,,,8.4,7.75,6.25,9.25
1013663,7.8,7.0,,,,8.6,6.5,7.25,8.5
1013664,7.4,7.5,,,,,5.75,6.25,7.0
1013665,7.6,7.75,7.75,6.75,8.75,8.6,,,
1013666,8.6,7.0,3.5,8.5,4.25,,,,
1013667,8.2,6.5,8.0,7.0,4.25,7.4,,,
1013668,7.4,7.5,,,,,7.5,6.5,8.75
1013669,5.4,6.5,,,,,5.5,6.5,9.5
1013670,8.6,8.0,7.75,8.5,9.25,,,,
1013671,7.6,6.0,,,,,7.25,6.75,9.5
1013672,6.4,7.75,,,,,7.0,5.75,8.75
1013673,6.4,8.5,,,,,9.0,6.5,9.0
1013674,7.2,8.0,5.5,7.25,8.5,,,,
1013675,7.4,7.0,,,,,5.0,5.75,8.25
1013676,7.2,7.0,,,,,7.5,5.25,9.0
1013677,6.4,6.25,,,,,6.5,6.5,9.25
1013678,8.2,7.75,,,,,8.0,7.75,10.0
1013679,8.0,8.25,,,,,6.0,5.25,8.0
1013680,6.0,6.5,,,,,7.5,6.5,8.25
1013681,7.8,8.5,,,,9.8,7.25,5.75,9.5
1013682,7.6,7.0,5.0,6.0,7.0,7.8,,,
1013683,6.8,6.5,,,,7.0,4.25,6.25,7.75
1013684,6.6,8.25,,,,4.0,7.5,6.75,8.0
1013685,6.8,8.0,4.75,7.25,7.5,6.0,,,
1013686,7.8,8.5,,,,9.0,7.25,7.0,9.5
1013687,8.4,8.25,7.5,4.25,5.25,9.2,,,
1013688,7.6,7.75,6.0,8.0,8.5,6.0,,,
1013689,9.4,8.0,9.0,8.0,8.0,9.2,,,
1013690,7.4,8.5,3.5,8.0,6.75,8.2,,,
1013691,7.6,7.0,6.25,7.25,7.25,7.0,,,
1013692,8.0,7.25,7.0,5.75,5.75,9.2,,,
1013693,6.2,7.5,,,,6.4,6.25,5.25,6.75
1013694,6.2,7.75,5.5,2.75,5.0,5.4,,,
1013695,8.2,8.25,8.5,7.5,6.25,9.0,,,
1013696,8.8,8.75,,,,9.4,7.75,8.5,9.75
1013697,6.4,6.5,5.5,3.5,5.0,8.4,,,
1013698,8.6,6.5,7.5,8.0,5.0,8.4,,,
1013699,5.6,6.5,,,,8.8,6.5,7.75,8.75
1013700,7.2,6.25,7.0,3.75,6.5,7.6,,,
1013701,8.0,6.75,5.75,8.5,8.0,8.4,,,
1013702,8.8,7.25,7.75,8.0,7.5,7.8,,,
1013703,8.2,7.0,,,,8.8,8.5,6.5,9.25
1013704,8.6,7.5,8.25,7.5,7.25,9.0,,,
1013705,8.4,6.75,7.5,6.5,6.5,7.4,,,
1013706,8.0,6.25,,,,6.0,5.5,5.5,6.5
1013707,7.2,8.5,,,,8.6,8.25,8.0,9.0
1013708,9.0,7.5,9.25,7.0,7.75,9.4,,,
1013709,5.6,7.25,,,,7.4,6.75,4.5,8.0
1013710,7.8,5.5,,,,5.6,3.75,6.5,8.0
1013711,8.8,6.5,7.25,4.25,5.5,5.6,,,
1013712,6.4,8.0,,,,5.2,3.25,5.25,8.0
1013713,7.2,8.0,,,,8.0,7.0,7.25,9.5
1013714,7.2,8.75,,,,9.6,6.75,6.25,8.5
1013715,7.8,8.25,8.0,7.0,6.0,,,,
1013716,8.2,8.0,,,,9.4,7.0,5.5,8.5
1013717,7.0,8.25,,,,7.8,4.5,5.0,8.0
1013718,7.8,8.0,5.5,9.25,7.0,8.4,,,
1013719,8.6,8.5,,,,9.0,8.0,6.0,8.5
1013720,8.2,7.5,,,,9.2,6.0,4.0,5.75
1013721,8.0,8.25,,,,8.6,8.25,6.5,8.75
1013722,6.0,6.0,,,,8.4,5.5,5.75,7.75
1013723,8.2,7.75,7.5,7.0,6.5,7.8,,,
1013724,7.0,6.75,,,,7.4,5.0,6.0,8.5
1013725,7.8,8.0,,,,9.4,7.0,8.0,9.25
1013726,7.2,7.75,4.75,3.5,6.5,8.6,,,
1013727,5.4,7.75,,,,7.6,6.25,5.5,8.0
1013728,6.6,8.0,,,,6.4,5.75,6.25,9.0
1013729,8.8,7.75,7.0,9.75,8.25,7.0,,,
1013730,8.4,6.25,7.75,6.75,5.75,7.6,,,
1013731,8.8,6.75,8.5,7.5,4.25,6.4,,,
1013732,7.6,7.25,7.0,4.5,6.5,,,,
1013733,8.6,9.25,,,,10.0,6.25,7.25,7.0
1013734,8.0,9.5,,,,9.4,8.25,8.25,10.0
1013735,9.2,7.75,8.75,4.75,6.25,8.2,,,
1013736,5.4,7.0,,,,8.6,6.5,7.25,8.0
1013737,7.2,8.75,,,,7.8,8.0,7.25,9.5
1013738,8.2,7.0,5.0,8.75,6.25,8.8,,,
1013739,5.4,7.0,,,,7.6,6.5,5.75,8.5
1013740,7.8,5.0,,,,8.4,5.5,6.75,8.5
1013741,8.0,8.25,,,,9.4,8.25,6.5,9.0
1013742,8.2,7.5,,,,9.2,6.0,6.0,9.0
1013743,7.6,8.75,,,,8.2,6.25,6.0,8.5
1013744,6.8,8.75,,,,,7.75,6.25,9.5
1013745,7.0,8.75,,,,9.2,7.25,6.75,8.5
1013746,9.0,8.75,,,,9.4,7.75,8.0,9.75
1013747,6.6,8.5,,,,6.6,4.5,5.75,8.0
1013748,8.0,7.75,7.0,6.5,5.25,8.0,,,
1013749,9.0,8.5,,,,7.6,5.75,7.75,9.25
1013750,7.4,7.75,,,,6.4,6.5,4.0,8.0
1013751,8.2,8.25,,,,,5.5,6.5,8.75
1013752,6.0,7.75,,,,,6.0,5.25,6.75
1013753,8.2,7.0,7.5,3.5,5.75,8.2,,,
1013754,7.0,8.25,,,,8.6,8.0,6.75,9.5
1013755,7.0,9.25,,,,6.2,4.5,5.25,7.25
1013756,7.6,9.25,,,,7.4,4.25,5.75,8.75
1013757,7.2,7.0,6.0,3.5,4.75,7.2,,,
1013758,6.4,8.25,,,,6.6,6.0,5.75,9.5
1013759,8.8,8.25,,,,8.4,7.25,8.5,8.75
1013760,8.6,8.25,7.5,8.0,7.25,9.2,,,
1013761,6.6,8.5,,,,6.8,4.75,5.0,7.25
1013762,8.0,8.0,,,,,7.75,7.25,9.0
1013763,6.6,8.75,,,,6.6,7.5,5.5,7.5
1013764,6.0,9.0,,,,7.2,6.5,6.0,9.25
1013765,6.8,8.0,,,,8.0,3.75,5.25,8.25
1013766,8.4,8.5,,,,6.2,4.75,6.0,7.5
1013767,9.0,9.0,,,,8.8,7.25,6.5,8.25
1013768,9.0,8.25,8.5,8.75,7.5,8.8,,,
1013769,8.2,8.5,8.5,8.75,8.25,9.4,,,
1013770,7.4,8.75,,,,8.2,5.0,6.0,9.0
1013771,7.0,8.5,5.5,7.75,8.5,8.8,,,
1013772,7.8,8.75,7.75,6.25,6.5,7.2,,,
1013773,6.6,6.83,,,,8.2,5.5,4.75,6.5
1013774,7.8,8.5,5.75,8.0,7.5,9.4,,,
1013775,6.0,8.0,,,,7.2,5.75,6.0,8.25
1013776,6.8,7.75,,,,8.4,6.5,6.25,8.75
1013777,7.2,7.0,4.25,3.75,6.75,7.0,,,
1013778,8.2,7.25,8.75,8.75,5.5,7.8,,,
1013779,7.8,7.0,6.0,7.5,8.5,,,,
1013780,7.0,6.5,,,,8.6,5.5,6.0,8.5
1013781,8.4,9.5,,,,7.8,7.75,9.0,8.0
1013782,6.4,8.5,,,,,7.25,7.75,9.25
1013783,7.6,9.25,,,,7.2,6.0,7.75,8.75
1013784,7.8,8.5,,,,5.6,4.25,6.25,6.75
1013785,6.6,8.75,,,,8.6,7.25,6.5,8.75
1013786,7.8,9.75,,,,9.2,8.0,6.0,9.25
1013787,6.6,7.75,,,,,8.5,6.0,8.5
1013788,8.0,8.5,,,,9.0,8.25,7.25,9.25
1013789,8.8,7.5,6.5,5.25,6.0,9.2,,,
1013790,7.2,8.25,,,,7.4,5.5,7.0,8.25
1013791,7.4,8.0,,,,8.8,5.25,6.75,9.75
1013792,6.8,7.5,,,,4.2,4.0,6.25,8.0
1013793,7.2,8.75,,,,8.8,8.25,7.75,9.75
1013794,8.4,9.0,,,,9.2,7.25,5.75,9.5
1013795,7.4,8.0,,,,9.6,5.75,6.5,8.25
1013796,8.0,8.75,,,,7.6,7.0,6.5,9.0
1013797,6.4,7.75,,,,8.2,4.5,5.75,8.0
1013798,5.6,6.0,,,,4.6,4.5,5.25,7.75
1013799,6.8,7.75,,,,7.0,5.75,6.25,8.0
1013800,8.8,6.0,7.5,10.0,8.0,7.4,,,
1013801,3.4,6.25,,,,6.2,4.75,5.0,8.25
1013802,7.8,8.0,,,,7.6,7.0,7.0,8.5
1013803,6.6,7.5,,,,6.4,5.0,6.5,7.75
1013804,6.8,4.25,7.25,7.75,6.25,8.8,,,
1013805,7.0,8.75,,,,9.0,6.75,5.75,7.75
1013806,7.8,7.5,6.0,7.75,7.75,8.8,,,
1013807,8.6,7.75,7.75,5.5,6.5,8.6,,,
1013808,8.6,8.25,7.0,4.0,6.25,8.2,,,
1013809,5.0,7.5,,,,7.4,5.0,6.25,8.5
1013810,5.6,7.75,,,,7.4,7.75,7.5,8.0
1013811,8.2,8.5,5.0,7.5,6.75,8.4,,,
1013812,7.0,6.25,,,,8.8,7.5,6.25,9.0
1013813,7.4,7.5,,,,5.4,4.25,5.5,6.25
1013814,3.0,7.25,,,,2.4,8.25,6.25,7.75
1013815,8.2,7.25,8.5,6.5,6.5,9.6,,,
1013816,6.0,7.5,,,,8.4,5.0,6.0,9.0
1013817,7.0,8.0,,,,,8.0,8.25,9.75
1013818,6.4,7.25,,,,4.8,4.75,4.5,7.25
1013819,7.4,7.5,,,,4.2,3.25,5.0,8.25
1013820,4.0,6.5,,,,3.2,6.5,5.75,7.0
1013821,,,,,,,,,
1013822,6.2,7.25,,,,6.4,5.75,5.0,7.5
1013823,7.2,8.25,,,,9.2,7.25,5.75,8.25
1013824,5.6,5.75,,,,4.4,5.25,6.0,7.0
1013825,7.4,8.75,,,,8.8,7.25,6.25,8.5
1013826,7.0,8.75,,,,8.4,5.5,4.25,9.0
1013827,7.4,8.5,,,,8.2,8.0,6.75,9.25
1013828,7.6,8.75,,,,8.2,4.5,6.75,7.5
1013829,8.6,9.0,,,,8.0,7.75,6.75,9.5
1013830,4.8,7.0,,,,7.0,7.75,5.75,8.0
1013831,8.2,8.0,8.0,8.0,7.75,8.6,,,
1013832,8.2,8.5,6.0,6.25,7.5,7.6,,,
1013833,5.6,9.25,,,,6.6,5.5,2.0,5.5
1013834,6.8,8.25,6.25,4.75,5.0,8.6,,,
1013835,7.8,8.0,6.75,6.75,7.0,8.6,,,
1013836,8.2,7.75,4.5,8.25,7.5,,,,
1013837,5.6,8.0,,,,9.4,7.75,7.75,7.5
1013838,7.0,8.25,,,,8.8,7.5,6.5,7.75
1013839,7.0,7.75,,,,8.2,6.0,5.75,8.0
1013840,7.4,5.75,6.5,5.5,6.0,8.6,,,
1013841,7.2,8.25,,,,8.6,7.25,7.25,8.75
1013842,7.8,6.0,4.0,4.25,6.25,9.2,,,
1013843,7.4,7.25,,,,2.8,7.75,4.5,8.5
1013844,7.2,8.25,,,,,7.0,7.0,8.5
1013845,8.2,6.75,7.25,9.25,9.5,9.2,,,
1013846,8.6,6.75,8.75,9.0,7.25,9.0,,,
1013847,5.6,6.5,,,,4.8,4.5,4.5,6.5
1013848,5.2,6.75,,,,7.8,6.0,6.0,7.5
1013849,6.0,8.5,,,,6.2,5.5,5.0,8.0
1013850,6.4,8.25,,,,9.4,5.0,5.75,8.25
1013851,9.0,8.5,9.0,8.5,7.0,9.6,,,
1013852,6.6,6.75,,,,5.4,4.5,5.75,8.5
1013853,7.8,7.0,4.75,7.25,5.75,9.2,,,
1013854,8.0,6.0,8.25,3.5,5.0,8.2,,,
1013855,6.2,6.0,,,,3.2,5.0,5.75,7.25
1013856,6.0,6.25,,,,9.2,5.0,5.75,9.5
1013857,7.6,7.0,8.75,6.75,7.5,9.0,,,
1013858,5.6,7.5,,,,7.0,5.5,4.75,6.0
1013859,6.6,8.25,,,,7.6,8.25,9.0,9.0
1013860,6.8,6.5,5.75,3.5,4.5,8.8,,,
1013861,7.6,8.75,8.0,6.5,6.25,9.0,,,
1013862,5.6,7.25,,,,3.0,6.5,7.75,7.0
1013863,7.0,9.0,,,,7.2,9.25,8.5,10.0
1013864,7.4,8.0,,,,,8.5,6.5,7.5
1013865,7.8,8.0,7.75,7.25,7.75,,,,
1013866,7.4,8.25,,,,6.6,5.0,6.25,8.0
1013867,8.0,7.5,7.25,7.5,4.75,8.0,,,
1013868,7.4,7.75,,,,8.2,6.75,6.0,8.0
1013869,8.8,4.5,8.5,5.25,7.5,9.4,,,
1013870,5.6,7.5,,,,7.6,6.75,7.0,8.25
1013871,7.6,6.75,8.0,5.25,7.0,8.8,,,
1013872,7.2,7.25,,,,6.4,7.0,6.25,9.5
